circuit,qubits,gates_1q,gates_2q,M1__fidelity,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M2__fidelity,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M3__fidelity,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M4__fidelity,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M3__initial_placement_s,M3__transition_decision_s,M3__problem_preparation_s,M3__search_kernel_s,M3__result_commit_s,M3__transition_residual_s,M3__routing_s,M3__return_match_s,M3__forecast_s,M4__initial_placement_s,M4__transition_decision_s,M4__problem_preparation_s,M4__search_kernel_s,M4__result_commit_s,M4__transition_residual_s,M4__routing_s,M4__return_match_s,M4__forecast_s
4mod7-v1_96,5,131,70,0.4752294106930539,134.0,15.118360350564481,7.996728417,1/1,success,0.4776744972610995,128.0,12.26745471152818,0.021549667,1/1,success,0.4832221825609738,129.0,13.93835492283327,3.006189084,1/1,success,0.4768748215808535,89.0,9.675177864848422,7.132842125,1/1,success,2.099288834,0.871632083,0.079796244,0.646179712,0.112019581,0.033636546,0.0096035,0.003394598,0.001304428,2.126459292,4.973186,0.0835605,4.746164918,0.10946525,0.033995332,0.007324457,0.002430474,1.778524505
9symml_195,11,28293,15232,,,,,0/1,verifier_fail,,26785.0,2603.708046725306,4.322254584,1/1,success（线性F OOD）,,26815.0,2710.7904568305776,57.059260917,1/1,success（线性F OOD）,,20602.0,2103.165450424444,54.328936542,1/1,success（线性F OOD）,4.818505708,47.312431166,2.636886272,39.738061923,4.424482331,0.51300064,3.160485744,0.300193946,0.008732182,4.775306417,45.307989041,2.155448469,37.93566818,4.704577697,0.512294695,2.708081007,0.331505032,0.922595232
C17_204,7,382,205,0.10779345062340649,364.0,34.773604232276796,14.84907275,1/1,success,0.10610307199399976,364.0,35.48226083376361,0.062243166,1/1,success,0.10838462108820592,379.0,39.300664008536316,6.08205975,1/1,success,0.10434916436631549,270.0,29.38847338029168,23.591578625,1/1,success,3.23407475,2.76134825,0.253119294,2.090210624,0.364297243,0.053721089,0.044306278,0.010412356,0.003820292,3.217561708,20.293814375,0.280345744,19.583619757,0.370932663,0.058916211,0.039141178,0.00849015,6.180682749
adr4_197,13,2786,1498,1.0601717374804554e-08,2620.0,256.7187949149563,25.652192208,1/1,success,1.0694494803608008e-08,2603.0,255.03137959966793,0.425099875,1/1,success,7.3258018377407245e-09,2685.0,290.9279842933277,24.279124958,1/1,success,1.4748777687207649e-08,1968.0,200.08676101380772,30.459932125,1/1,success,4.461105125,19.347591334,2.542603569,13.212086282,3.445439552,0.147461931,0.283450127,0.048404226,0.005803848,4.512863958,25.537310709,2.671288863,19.402437163,3.303361724,0.160222959,0.244274378,0.031243003,1.505373501
aj-e11_165,5,128,69,0.485842074840411,131.0,12.797837054258943,9.008524,1/1,success,0.48487178543538173,127.0,12.05973098745516,0.021170209,1/1,success,0.4913798774404617,128.0,12.42778764340464,3.047437917,1/1,success,0.48355088835157856,85.0,8.338971941055753,7.119988458,1/1,success,2.272475625,0.739000458,0.076721749,0.518224789,0.106489339,0.037564581,0.009284496,0.002967573,0.001310526,2.23812375,4.848438,0.082429794,4.625142209,0.106768252,0.034097745,0.007107735,0.0022206,1.461142071
alu-bdd_288,7,73,38,0.6551496903431628,72.0,7.005243285476675,9.302645083,1/1,success,0.6549797512121575,71.0,7.060465491355581,0.01892975,1/1,success,0.659437159721935,70.0,6.822516079556546,2.760185,1/1,success,0.6551092587702366,49.0,5.118132028074075,4.380418042,1/1,success,2.23495,0.497209625,0.044163876,0.36119775,0.059764873,0.032083126,0.005353451,0.001969762,0.00075296,2.224135292,2.128302292,0.047882713,1.988107708,0.059754916,0.032556955,0.004299164,0.001676299,0.728370331
alu-v0_26,5,70,38,0.6686202371022227,73.0,6.9298749070139385,7.266716292,1/1,success,0.668417329393995,72.0,6.916365237425854,0.012304167,1/1,success,0.6746693926115204,70.0,6.763300519358815,2.439552458,1/1,success,0.6652939811509462,52.0,5.438234336593016,4.475058875,1/1,success,1.967673375,0.444032083,0.054955457,0.298571751,0.059009542,0.031495333,0.005297899,0.001936328,0.000756501,1.970946583,2.476895958,0.058793084,2.326206127,0.059217874,0.032678873,0.004153013,0.00161302,0.864541535
alu-v0_27,5,31,17,0.8285210101807691,32.0,3.061470808534262,6.236764791,1/1,success,0.8289120279825818,30.0,2.8682968424252,0.006024709,1/1,success,0.8339925392227199,33.0,3.5151363894865475,2.0377195,1/1,success,0.8308608654608615,22.0,2.2770861916884777,3.0267565,1/1,success,1.78302325,0.232604375,0.017772667,0.146825211,0.036655872,0.031350625,0.0024755,0.00081038,0.000303107,1.846195708,1.158218708,0.019141584,1.069376375,0.038607833,0.031092916,0.001789808,0.000746091,0.289174044
alu-v1_28,5,34,18,0.8231297774714176,32.0,3.0686352715945318,6.260338459,1/1,success,0.8236783345442589,30.0,2.869325829159886,0.00631125,1/1,success,0.8285673778652992,32.0,3.5216438627052833,2.066126875,1/1,success,0.8244117771120919,24.0,2.4339338133026667,2.815454833,1/1,success,1.805529708,0.237832333,0.01966025,0.143988459,0.04279854,0.031385084,0.002688646,0.000893199,0.000326886,1.784271083,1.008047,0.019477252,0.917766419,0.039378873,0.031424456,0.002048969,0.0008452,0.291240293
alu-v1_29,5,31,17,0.8285159177368961,32.0,3.0633097477521756,6.250636,1/1,success,0.8289224271679358,30.0,2.8645430239856755,0.005925291,1/1,success,0.8340201566971674,32.0,3.505231807906449,2.031115959,1/1,success,0.8328552931836507,21.0,2.100008638099296,3.845286334,1/1,success,1.788224125,0.220514209,0.018554001,0.133066876,0.037774376,0.031118956,0.002519131,0.000842366,0.000298099,1.761994625,2.061450959,0.018267709,1.975197207,0.036860376,0.031125667,0.001793623,0.000712276,0.232638143
