filename,Atomique,Atomique,Atomique,Atomique,Atomique,Atomique,Enola,Enola,Enola,Enola,Enola,Enola,NALAC,NALAC,NALAC,NALAC,NALAC,NALAC,ZAC,ZAC,ZAC,ZAC,ZAC,ZAC
x,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration
ghz_n23,0.13370758797486648,0.8955869907338783,0.17166615053978207,1,0.8815104489016634,5623.029924780201,0.2141838775111785,0.8955869907338783,0.314602242346932,0.9175547491935327,0.8397481469105197,9211.754404558107,0.4664338686370253,0.8955869907338783,1.0,0.8762831198969281,0.6024232305680759,31440.13784760977,0.7368331239440463,0.8955869907338783,1,0.9120631656822731,0.9143243860465285,5992.580876789554
ghz_n40,0.00011363296712416427,0.7628626641409962,0.0002624864914283082,1,0.5854678473387888,12778.740234116398,0.010032163944216606,0.8224322824348486,0.02448636166282117,0.857205969570888,0.5950854730042983,15454.456817678749,0.13062201132440485,0.8224322824348484,1.0,0.7912691702140646,0.20553524084528826,56033.27204824997,0.5016815857411963,0.8224322824348486,1,0.8520755747117412,0.7330679268910779,11762.70566571075
ghz_n78,2.4035783637073758e-14,0.6027415843082742,2.7248875137604783e-13,1,0.15511660211600017,23199.44959999284,2.7295287875734364e-08,0.6797938283326578,4.348268041895779e-07,0.7362738857656108,0.13138702532525473,30730.43334250509,0.0007169036636918827,0.6797938283326577,1.0,0.6298767245155702,0.0017539844759440354,114945.93085481867,0.14599714924417997,0.6797938283326578,1,0.7173681503955105,0.31363374984063663,22301.60712235586
i0,0.0013758572362861218,0.6057704364907279,0.011848585963380186,1,0.1940041810528449,35772.67834993557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ising_n42,0.023726042391385697,0.6530732019446992,0.055792873015399466,1,0.6807227747743134,9252.3791027576,0.22905732366620973,0.6629680834613703,0.9900374375390627,0.7496535623221507,0.4860754319775035,18366.031070614776,0.18616612737704885,0.6629680834613703,0.877952513780448,0.6137030113095175,0.5441806549235082,18584.666691998347,0.37227377657870375,0.6629680834613703,1,0.7802631200940581,0.7514378734298638,10439.57485465476
ising_n98,6.131379097658795e-16,0.32536444083942,2.6567435355570838e-14,1,0.07952171838927287,25748.606362195613,0.004388794676042643,0.3781618071286901,0.9900374375390627,0.5064446569870299,0.025632364535101225,37678.10568795442,0.0023294569854409425,0.37816180712869,0.7943048256065051,0.3158220413582484,0.027192684043681487,46973.53689542834,0.04949619447922022,0.3781618071286901,1,0.5575003238156508,0.2599882399556232,20749.317066877447
knn_n31,9.93605964517268e-11,0.42864784632995134,9.391993759946802e-10,1,0.2673115029259713,33976.298315106615,0.0005334314319977097,0.5907768628656768,0.004299250882447116,0.6582245533155778,0.3404354373682537,40675.675731616364,0.05760401782875955,0.5907768628656764,0.8605463393821575,0.5979446000009477,0.1983356974316983,71327.57538222279,0.21629225766699917,0.5907768628656768,1,0.6211155405084055,0.6169527430770059,23675.7781273318
multiply_n13,0.023448242407559192,0.7147372386831307,0.04121356217114168,1,0.8192817668641288,13758.200841183074,0.3447423248511479,0.8183201210226748,0.5779976258940435,0.8537822855004554,0.8665898071497073,14261.052672553305,0.4747454156152407,0.8183201210226743,0.9092647725470315,0.8056482291095418,0.8046519084100036,23087.97282942883,0.6368179773441603,0.8183201210226748,1,0.855492414837717,0.9242346368069045,9457.773444869354
qft_n18,2.2058338853023266e-11,0.16957841978827554,6.106288862492561e-10,1,0.24076341497134154,65954.76505351048,0.00239752687812888,0.21570623976979011,0.23650096147234326,0.2944602063887933,0.17584527477677483,123313.89798351172,0.005149685874375035,0.2157062397697901,0.4377825417221742,0.20955238543722918,0.2868050141053304,88323.47782005703,0.06832578106574776,0.21570623976979011,1,0.5229213460638851,0.6675830222593007,34787.26406796752
qft_n29,8.690611840048619e-32,0.021718693162740853,3.2162606233014935e-28,1,0.0160990373693407,113275.2665491162,3.85940338982599e-09,0.01759555950230475,0.019255867024500415,0.03981099793629736,0.00036747494395300676,317953.3121642763,2.5103059972412947e-06,0.03308985827710751,0.16246827316208884,0.031564312362860995,0.0183001712902508,163789.14018263965,0.0012981365799470518,0.033089858277107455,1,0.22929715625814084,0.21164845741294852,80255.64790256471
qugan_n71,8.79092586166942e-74,0.06191698689958461,5.24385609791523e-68,1,3.5565089987385635e-05,118408.65832762767,2.6110182623352417e-18,0.1481131996953085,1.02912558292198e-13,0.218108745562316,0.0010083728982813944,0,0,0,0,0,0,0,0.0045739964504056515,0.1481131996953085,1.0,0.4817330080963779,0.0773282330184516,-1
seca_n11,0.015272978755122115,0.5761543988830048,0.034937501250345275,1,0.7939067903155788,17606.228317929686,0.20145300360002835,0.6696478204705647,0.5388741820096965,0.7274870315965024,0.7886288724706522,28226.543689268972,0.24660304709715147,0.6696478204705641,0.7785570395897228,0.660864046961939,0.7386381691868963,37212.702035705544,0.4306563481149038,0.6696478204705647,1,0.7407070321561015,0.896025262924506,15807.09154713217
swap_test_n25,1.1510849484801174e-07,0.5007087062458532,6.329663956124171e-07,1,0.387630901247841,28964.830777811378,0.007065977389045437,0.6563549768288436,0.03145095403122259,0.7159341314628669,0.5037326981502198,32183.41531440441,0.13268388507338333,0.6563549768288431,0.8867871865156692,0.6621877602947682,0.3570889417704221,57102.10426671946,0.3109694926742788,0.6563549768288436,1,0.6810005752658346,0.7216541052123919,19931.981432365115
wstate_n27,0.0022525406934293685,0.7477194593032545,0.00464614494143989,1,0.6707582145859472,15432.845656958663,0.07896941079646955,0.7705488893118834,0.19553010879892632,0.8137491998735049,0.6651160482614058,17294.002255457995,0.2119316060738116,0.7705488893118821,0.8823587930030067,0.7694101571203776,0.41809476143787744,43065.67570089333,0.4737530943892509,0.7705488893118834,1,0.8056482291095443,0.7875692165674265,13532.001000221133
