dataset,circuit,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
zac18,seca_n11_transpiled,True,M1,-0.8426289975210782,0.43057704813787323,-0.8625150008845914,0.4220991664837909,-0.019886003363513205,0.9803104190277983,3/3
zac18,swap_test_n25_transpiled,True,M2,-1.142049130390318,0.31916434193060306,-1.1548962882874618,0.31509021375457047,-0.012847157897143857,0.9872350145652597,3/3
zac18,wstate_n27_transpiled,True,M1,-0.7435117204628506,0.475441363307556,-0.6979306872700858,0.4976139580186141,0.04558103319276485,1.0466358134193616,3/3
qmap154,0410184_169,True,M2,-1.2227475934294427,0.29442010782334455,-1.2087729371994698,0.2985634108058511,0.01397465622997296,1.0140727581860425,3/3
qmap154,3_17_13,True,M1,-0.17034184183776974,0.8433764659529815,-0.17242426712876793,0.8416220248507202,-0.0020824252909981966,0.9979197414522601,3/3
qmap154,4_49_16,True,M1,-1.019697399322453,0.3607040729572892,-1.033320052386165,0.35582364418098095,-0.01362265306371202,0.9864697153644669,3/3
qmap154,4gt10-v1_81,True,M2,-0.6928633620415361,0.5001419293993478,-0.7095903606414289,0.4918456355303221,-0.016726998599892795,0.9834121208773894,3/3
qmap154,4gt11_82,True,M2,-0.15490465070448334,0.8564968399606243,-0.15203471938214563,0.8589584577164673,0.0028699313223377043,1.0028740535177645,3/3
qmap154,4gt11_83,True,M1,-0.13471198464705628,0.8739675915268008,-0.13363295757629307,0.8749111351800528,0.001079027070763211,1.0010796094299146,3/3
qmap154,4gt11_84,True,M1,-0.09777551096426074,0.9068524593392224,-0.09375396131137584,0.9105067545721256,0.004021549652884898,1.0040296469345917,3/3
qmap154,4gt12-v0_86,True,M1,-1.191131602099132,0.30387720135344487,-1.2078628094646042,0.2988352653390513,-0.016731207365472178,0.9834079819350146,3/3
qmap154,4gt12-v0_87,True,M1,-1.1755668030576623,0.3086439897431713,-1.1922113774799135,0.30354925931637433,-0.0166445744222512,0.9834931811533528,3/3
qmap154,4gt12-v0_88,True,M1,-0.9076244419071995,0.4034815803891876,-0.9228753365457945,0.3973748105337814,-0.01525089463859497,0.9848648113018796,3/3
qmap154,4gt12-v1_89,True,M1,-1.0795317472434995,0.3397545794216961,-1.079289750364866,0.33983680891865714,0.00024199687863357688,1.0002420261622404,3/3
qmap154,4gt13-v1_93,True,M1,-0.31535269560997403,0.7295315263223074,-0.3208487781177351,0.7255329591545231,-0.005496082507761069,0.9945189933217256,3/3
qmap154,4gt13_90,True,M1,-0.507262232397826,0.6021418486770534,-0.5150267861612942,0.5974845900852876,-0.007764553763468185,0.9922655125166966,3/3
qmap154,4gt13_91,True,M1,-0.48824290718419255,0.6137037818783082,-0.49550715182366045,0.6092618406774977,-0.007264244639467898,0.9927620762133557,3/3
qmap154,4gt13_92,True,M1,-0.32393434926017145,0.7232977258519813,-0.32061614684514006,0.725701760443589,0.0033182024150313905,1.0033237137428794,3/3
qmap154,4gt4-v0_72,True,M1,-1.1959164521424395,0.30242666757416814,-1.2123611722612742,0.29749401487642096,-0.016444720118834688,0.9836897561405114,3/3
qmap154,4gt4-v0_73,True,M1,-1.8895701116203982,0.15113676681281427,-1.926855666993057,0.14560531103544028,-0.03728555537265876,0.9634009917373394,3/3
qmap154,4gt4-v0_78,True,M1,-1.124954956677465,0.3246670911134975,-1.1406868044178404,0.3195994441113112,-0.015731847740375393,0.9843912514052287,3/3
qmap154,4gt4-v0_79,True,M1,-1.0905217419842788,0.33604112119973767,-1.1039912788254134,0.3315451502354098,-0.01346953684113461,0.9866207714452436,3/3
qmap154,4gt4-v0_80,True,M2,-0.8431414559969747,0.43035645180808557,-0.854221921165048,0.4256142237001521,-0.011080465168073372,0.9889806970756227,3/3
qmap154,4gt4-v1_74,True,M1,-1.2772678071149082,0.27879799069030436,-1.295718900023959,0.2737010299108275,-0.018451092909050892,0.9817180863934608,3/3
qmap154,4gt5_75,True,M1,-0.40506554924446025,0.6669330924653196,-0.41042138768954173,0.6633706550038613,-0.005355838445081473,0.9946584784865155,3/3
qmap154,4gt5_76,True,M1,-0.4676786360093316,0.6264548113306613,-0.47258005371391043,0.6233918072905074,-0.004901417704578803,0.9951105746420117,3/3
qmap154,4gt5_77,True,M1,-0.6093838162416683,0.5436857762266762,-0.6145115650308501,0.5409050277288421,-0.005127748789181874,0.9948853756720779,3/3
qmap154,4mod5-bdd_287,True,M1,-0.33402425996439006,0.7160364109986639,-0.3364825085279968,0.7142783772471228,-0.0024582485636067686,0.997544770455054,3/3
qmap154,4mod5-v0_18,True,M1,-0.3145816810321812,0.7300942226597257,-0.32217930024842,0.7245682634126596,-0.0075976192162388045,0.9924311697373318,3/3
qmap154,4mod5-v0_19,True,M1,-0.170547369897112,0.843203146236282,-0.17255500906463783,0.8415119967507206,-0.002007639167525832,0.9979943747919942,3/3
