rank delta_logF display_delta tail ratio
54 -0.00498722151707 -0.00498722151707 0 0.995025194024
55 -0.00490141770458 -0.00490141770458 0 0.995110574642
56 -0.00478098983027 -0.00478098983027 0 0.995230420909
57 -0.0047270628986 -0.0047270628986 0 0.99528409208
58 -0.00410776506772 -0.00410776506772 0 0.995900660259
59 -0.00275863796151 -0.00275863796151 0 0.997245163584
60 -0.00245824856361 -0.00245824856361 0 0.997544770455
61 -0.00234940913797 -0.00234940913797 0 0.997653348564
62 -0.00226919041713 -0.00226919041713 0 0.997733382249
63 -0.00226912990213 -0.00226912990213 0 0.997733442627
64 -0.00219212302603 -0.00219212302603 0 0.997810277921
65 -0.002082425291 -0.002082425291 0 0.997919741452
66 -0.00200763916753 -0.00200763916753 0 0.997994374792
67 -0.00170323410677 -0.00170323410677 0 0.998298215573
68 -0.0016755045581 -0.0016755045581 0 0.998325898316
69 -0.000250695786197 -0.000250695786197 0 0.999749335635
70 -0.000142177770774 -0.000142177770774 0 0.999857832336
71 -6.1715392925e-05 -6.1715392925e-05 0 0.999938286511
72 8.27257935828e-05 8.27257935828e-05 0 1.00008272922
73 0.000241996878634 0.000241996878634 0 1.00024202616
74 0.000852404790962 0.000852404790962 0 1.00085276819
75 0.000890051594952 0.000890051594952 0 1.00089044781
76 0.00107902707076 0.00107902707076 0 1.00107960943
77 0.00126600327697 0.00126600327697 0 1.001266805
78 0.00202081772682 0.00202081772682 0 1.00202286096
79 0.00203106873615 0.00203106873615 0 1.00203313275
80 0.00234831931714 0.00234831931714 0 1.00235107878
81 0.00286993132234 0.00286993132234 0 1.00287405352
82 0.00310847931112 0.00310847931112 0 1.00311331564
83 0.00325916869808 0.00325916869808 0 1.00326448556
84 0.00329953767916 0.00329953767916 0 1.00330498715
85 0.00331820241503 0.00331820241503 0 1.00332371374
86 0.00365162714247 0.00365162714247 0 1.00365830246
87 0.00372077764826 0.00372077764826 0 1.00372770833
88 0.0037268689674 0.0037268689674 0 1.00373382238
89 0.00402154965288 0.00402154965288 0 1.00402964693
90 0.00435524877779 0.00435524877779 0 1.00436474666
91 0.0043553059991 0.0043553059991 0 1.00436480413
92 0.00456632896015 0.00456632896015 0 1.00457677053
93 0.00473333263571 0.00473333263571 0 1.00474455255
94 0.00475016110681 0.00475016110681 0 1.00476146101
95 0.00911338716742 0.00911338716742 0 1.00915504052
96 0.00915116266556 0.00915116266556 0 1.00919316257
97 0.00957276288928 0.00957276288928 0 1.00961872834
98 0.011065148693 0.011065148693 0 1.01112659388
99 0.012477372103 0.012477372103 0 1.01255553928
100 0.01397465623 0.01397465623 0 1.01407275819
101 0.0163347276223 0.0163347276223 0 1.01646886868
102 0.021915976486 0.021915976486 0 1.02215789556
103 0.0248413594147 0.0248413594147 0 1.02515247683
104 0.0419336203531 0.0419336203531 0 1.04282525408
105 0.072274702096 0.072274702096 0 1.07495059469
106 0.0885185382515 0.0885185382515 0 1.09255450647
107 0.0910053833531 0.0910053833531 0 1.09527490149
108 0.0969653223153 0.0969653223153 0 1.10182216432
109 0.10154076016 0.10154076016 0 1.10687503388
110 0.204418662355 0.204418662355 0 1.22681166582
111 0.319645282211 0.319645282211 0 1.37663935925
112 0.326194567604 0.326194567604 0 1.38568495205
113 0.334111650398 0.334111650398 0 1.39669907688
114 1.03287714071 1.03287714071 0 2.80913649988
115 1.05166892251 1.0338167298 1 2.86242429826
116 1.59692855205 1.0338167298 1 4.93784278213
117 2.03827158624 1.0338167298 1 7.67732812505
118 3.14899407393 1.0338167298 1 23.3126020279
119 7.51083778269 1.0338167298 1 1827.74415398
120 9.88913154837 1.0338167298 1 19714.9310382
