dataset,canonical_sha256,circuits,baseline_method,baseline_transfers,default_transfers,delta_transfers,baseline_idle_exposures,default_idle_exposures,delta_idle_exposures,baseline_log_atom_transfer,default_log_atom_transfer,delta_log_atom_transfer,baseline_log_idle_excitation,default_log_idle_excitation,delta_log_idle_excitation,baseline_log_coherence_linear,default_log_coherence_linear,delta_log_coherence_linear
qmap154,18bd03509e493866a3863af424f8d69b46a78f338a1c47d89749a2fca6939020,"[""ex3_229""]",M2,716.0,482.0,-234.0,0.0,121.0,121.0,-0.7163582388458106,-0.4822411607872636,0.23411707805854703,0.0,-0.3028787563923357,-0.3028787563923357,-0.17086894718795298,-0.13133179343401316,0.03953715375393982
qmap154,1a2e65e77c47deda845cff04ac39142ee67177958161cb55e0eee9ab9f5a61a5,"[""rd53_311""]",M1,520.0,346.0,-174.0,0.0,94.0,94.0,-0.5202601734634379,-0.34617311541990287,0.17408705804353503,0.0,-0.23529424050313683,-0.23529424050313683,-0.25885935905227575,-0.2050848244483045,0.05377453460397125
qmap154,1a2e65e77c47deda845cff04ac39142ee67177958161cb55e0eee9ab9f5a61a5,"[""rd53_311""]",M2,520.0,346.0,-174.0,0.0,94.0,94.0,-0.5202601734634379,-0.34617311541990287,0.17408705804353503,0.0,-0.23529424050313683,-0.23529424050313683,-0.25824012812191677,-0.2050848244483045,0.053155303673612264
qmap154,1cc205f827ac11a35917ee7ed71a78f0de65ae3e1b9a1ce15cc5f8ffc673f145,"[""graycode6_47""]",M1,24.0,20.0,-4.0,0.0,0.0,0.0,-0.024012008006004823,-0.020010006671670688,0.004002001334334135,0.0,0.0,0.0,-0.005993277070534335,-0.005639972405766069,0.0003533046647682661
qmap154,1cc205f827ac11a35917ee7ed71a78f0de65ae3e1b9a1ce15cc5f8ffc673f145,"[""graycode6_47""]",M2,24.0,20.0,-4.0,0.0,0.0,0.0,-0.024012008006004823,-0.020010006671670688,0.004002001334334135,0.0,0.0,0.0,-0.006013688056955256,-0.005639972405766069,0.00037371565118918693
qmap154,1fbbcea96463dd341d6d14223fe5adfb7ba4dd3fdfaca0da507cf2a2a52eced5,"[""miller_11""]",M1,96.0,52.0,-44.0,0.0,21.0,21.0,-0.09604803202401929,-0.05202601734634379,0.044022014677675504,0.0,-0.052565734580488015,-0.052565734580488015,-0.01030288976595668,-0.0065401596934154035,0.0037627300725412774
qmap154,1fbbcea96463dd341d6d14223fe5adfb7ba4dd3fdfaca0da507cf2a2a52eced5,"[""miller_11""]",M2,96.0,52.0,-44.0,0.0,21.0,21.0,-0.09604803202401929,-0.05202601734634379,0.044022014677675504,0.0,-0.052565734580488015,-0.052565734580488015,-0.01049314642732767,-0.0065401596934154035,0.003952986733912266
qmap154,205466da7c64551e7ef8d0ebcec9a29c26c1c6c9b66f614d19a34ff916800dc6,"[""squar5_261""]",M1,3500.0,2456.0,-1044.0,0.0,578.0,578.0,-3.5017511675423703,-2.4572288192811604,1.0445223482612098,0.0,-1.4468092660724796,-1.4468092660724796,-2.0434672854252,-1.5446578266937259,0.4988094587314742
qmap154,205466da7c64551e7ef8d0ebcec9a29c26c1c6c9b66f614d19a34ff916800dc6,"[""squar5_261""]",M2,3504.0,2456.0,-1048.0,0.0,578.0,578.0,-3.5057531688767045,-2.4572288192811604,1.048524349595544,0.0,-1.4468092660724796,-1.4468092660724796,-2.046414726489932,-1.5446578266937259,0.5017568997962063
qmap154,25d68584c24511a5e0c74e934a911155b0d792d0f76ad82dd8241b4aac2f6ae0,"[""4mod5-v1_23""]",M1,140.0,84.0,-56.0,0.0,24.0,24.0,-0.14007004670169482,-0.08404202802101689,0.05602801868067793,0.0,-0.06007512523484344,-0.06007512523484344,-0.0254484784002982,-0.017674502878728963,0.007773975521569238
qmap154,25d68584c24511a5e0c74e934a911155b0d792d0f76ad82dd8241b4aac2f6ae0,"[""4mod5-v1_23""]",M2,140.0,84.0,-56.0,0.0,24.0,24.0,-0.14007004670169482,-0.08404202802101689,0.05602801868067793,0.0,-0.06007512523484344,-0.06007512523484344,-0.025952945088475083,-0.017674502878728963,0.00827844220974612
