dataset,circuit,variant,fidelity,transfers,idle_exposures,log_coherence_linear,move_batches,move_time_us,algorithm_time_s,valid,N,fidelity_valid,fidelity_N,valid_over_N,status,ga_applicable_boundaries,ga_applicability_source
qmap154,urf3_155,paper_h0_ga,,717062.0,4027.0,,326166.0,31542471.249155536,547.331299375,3,3,0,3,3/3,success,8321,artifact.compiler_stats.ga_applicable_boundaries
qmap154,urf3_155,paper_h8_ga,,534080.0,132836.0,,247201.0,25041010.818370327,463.490769459,3,3,0,3,3/3,success,8321,artifact.compiler_stats.ga_applicable_boundaries
qmap154,urf3_155,paper_h8_greedy_only,,541384.0,133071.0,,249369.0,25905212.575157564,437.89675275,1,1,0,1,1/1,success,8321,artifact.compiler_stats.ga_applicable_boundaries
qmap154,urf4_187,paper_h0_ga,,,,,,,,0,3,0,3,0/3,timeout,,unavailable
qmap154,urf4_187,paper_h8_ga,,,,,,,,0,3,0,3,0/3,timeout,,unavailable
qmap154,urf4_187,paper_h8_greedy_only,,,,,,,,0,1,0,1,0/1,timeout,,unavailable
qmap154,z4_268,paper_h0_ga,5.2856691428323484e-08,5288.0,167.0,-3.560366992579521,2440.0,314226.0441959996,31.383247291,3,3,3,3,3/3,success,1111,artifact.compiler_stats.ga_applicable_boundaries
qmap154,z4_268,paper_h8_ga,1.438499396886584e-07,3948.0,878.0,-2.1151117217956257,1752.0,178219.3351480037,28.635392417,3,3,3,3,3/3,success,1111,artifact.compiler_stats.ga_applicable_boundaries
qmap154,z4_268,paper_h8_greedy_only,1.4046891832794215e-07,3962.0,876.0,-2.1413992803102633,1753.0,181105.33330460533,19.451144042,1,1,1,1,1/1,success,1111,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n14_transpiled,paper_h0_ga,0.8492499463115744,52.0,0.0,-0.037511368846603374,25.0,2665.112822177856,1.894988334,3,3,3,3,3/3,success,12,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n14_transpiled,paper_h8_ga,0.8492499463115744,52.0,0.0,-0.037511368846603374,25.0,2665.112822177856,2.493078791,3,3,3,3,3/3,success,12,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n14_transpiled,paper_h8_greedy_only,0.8492499463115744,52.0,0.0,-0.037511368846603374,25.0,2665.112822177856,2.449880333,1,1,1,1,1/1,success,12,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n19_transpiled,paper_h0_ga,0.7825096673937727,72.0,0.0,-0.07128546995442145,35.0,3747.0370947516567,2.528700333,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
zac18,bv_n19_transpiled,paper_h8_ga,0.7825096673937727,72.0,0.0,-0.07128546995442145,35.0,3747.0370947516567,3.192923083,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
