dataset,circuit,comparison,in_scope,paired_valid,current_variant,reference_variant,current_fidelity,reference_fidelity,delta_logF,fidelity_ratio,current_valid_over_N,reference_valid_over_N,ga_applicable_boundaries,current_transfers,reference_transfers,delta_transfers,current_idle_exposures,reference_idle_exposures,delta_idle_exposures,current_log_coherence_linear,reference_log_coherence_linear,delta_log_coherence_linear,current_move_batches,reference_move_batches,delta_move_batches,current_move_time_us,reference_move_time_us,delta_move_time_us,current_algorithm_time_s,reference_algorithm_time_s,delta_algorithm_time_s
qmap154,clip_206,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,2191,44442.0,58476.0,,12849.0,1543.0,,,,,19671.0,25704.0,,2027315.6619387725,2631157.6296797874,,61.929602459,62.567384208,
qmap154,clip_206,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,2191,44442.0,44632.0,,12849.0,12759.0,,,,,19671.0,19635.0,,2027315.6619387725,2015184.92198831,,61.929602459,61.423419042,
qmap154,cm152a_212,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.0018975469652627263,0.000978172667345191,0.6626310541609426,1.9398895804487797,3/3,3/3,179,1548.0,2098.0,-550.0,346.0,61.0,285.0,-0.8899566525211521,-1.691549023316556,0.8015923707954039,708.0,956.0,-248.0,73883.4956549559,156510.9692465559,-82627.4735916,76.116075,31.614835917,44.501239082999994
qmap154,cm152a_212,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.0018975469652627263,0.0019136477890437445,-0.008449276725922772,0.9915863180919704,3/3,1/1,179,1548.0,1552.0,-4.0,346.0,345.0,1.0,-0.8899566525211521,-0.876870499084204,-0.013086153436948078,708.0,707.0,1.0,73883.4956549559,72770.65816062108,1112.8374943348172,76.116075,61.42809,14.687984999999998
qmap154,con1_216,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.009287794992851255,0.007247562612967146,0.24803595086548658,1.2815060026158007,3/3,3/3,146,1194.0,1638.0,-444.0,272.0,28.0,244.0,-0.49176568574253,-0.9266364180603295,0.4348707323177995,534.0,728.0,-194.0,55447.767684948536,115387.28938980172,-59939.521704853185,54.402115041,24.424174084,29.977940957
qmap154,con1_216,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.009287794992851255,0.009212472787455787,0.008142868252959623,1.0081761115753882,3/3,1/1,146,1194.0,1208.0,-14.0,272.0,272.0,0.0,-0.49176568574253,-0.48590154932532026,-0.005864136417209731,534.0,536.0,-2.0,55447.767684948536,55112.21798123179,335.54970371674426,54.402115041,53.346768667,1.0553463740000026
qmap154,ground_state_estimation_10,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.9711608306325407,0.9711608306325407,0.0,1.0,3/3,3/3,0,4.0,4.0,0.0,0.0,0.0,0.0,-0.006322978465524478,-0.006322978465524478,0.0,1.0,1.0,0.0,109.09637512458573,109.09637512458573,0.0,0.890482792,0.967821417,-0.077338625
qmap154,ground_state_estimation_10,GA_vs_greedy,False,False,paper_h8_ga,paper_h8_greedy_only,0.9711608306325407,0.9711608306325407,,,3/3,1/1,0,4.0,4.0,,0.0,0.0,,-0.006322978465524478,-0.006322978465524478,,1.0,1.0,,109.09637512458573,109.09637512458573,,0.890482792,0.882865541,
qmap154,hwb5_53,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.0015205179086786572,0.001647150390380706,-0.0799957525164432,0.9231202673164651,3/3,3/3,534,1718.0,2368.0,-650.0,397.0,5.0,392.0,-0.45153645000929576,-0.6933541406318472,0.24181769062255143,792.0,1118.0,-326.0,79995.61093928695,126949.22681071822,-46953.61587143126,9.597866625,9.525126458,0.07274016699999919
qmap154,hwb5_53,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.0015205179086786572,0.001509978891632705,0.006955334539024527,1.0069795790552785,3/3,1/1,534,1718.0,1726.0,-8.0,397.0,397.0,0.0,-0.45153645000929576,-0.4514043996813363,-0.00013205032795948757,792.0,795.0,-3.0,79995.61093928695,80217.66715072357,-222.05621143661847,9.597866625,7.597269166,2.0005974589999997
qmap154,hwb8_113,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,3572,91106.0,121930.0,,21789.0,887.0,,,,,40750.0,53759.0,,4157208.613744546,5337525.76259311,,92.89856125,97.090405084,
qmap154,hwb8_113,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,3572,91106.0,91160.0,,21789.0,21483.0,,,,,40750.0,40729.0,,4157208.613744546,4166978.6635457105,,92.89856125,84.692262916,
qmap154,hwb9_119,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,7461,295572.0,368500.0,,60806.0,2926.0,,,,,132721.0,161888.0,,13694768.034563798,15897261.74906644,,258.557743125,272.080459292,
qmap154,hwb9_119,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,7461,295572.0,306592.0,,60806.0,60676.0,,,,,132721.0,135511.0,,13694768.034563798,14277454.902292667,,258.557743125,244.999498041,
