dataset,circuit,canonical_sha256,independent_analysis_unit,canonical_cluster_file_N,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,alu-v0_26,ce47031e36a06fb4b5256a25a448d4bcf007a6037c20645310dce86c4bd08620,canonical_sha256_cluster_mean,1,True,M1,-0.4025390375777094,0.6686202371022227,-0.40752625909477885,0.6652939811509462,-0.004987221517069429,0.9950251940239013,3/3
qmap154,alu-v0_27,68e9a8451b3ea56f9d1e2f1c4ca665dc2432ed849ff554148d57480c48d3774f,canonical_sha256_cluster_mean,1,True,M2,-0.18764124771350812,0.8289120279825818,-0.1852929283963691,0.8308608654608615,0.002348319317139025,1.0023510787785561,3/3
qmap154,alu-v1_28,7a422c31684da3e6854600d1c69901b391b2a7ddcf39fc3caada4e1000f7d33e,canonical_sha256_cluster_mean,1,True,M2,-0.1939751959858568,0.8236783345442589,-0.19308514439090502,0.8244117771120919,0.0008900515949517851,1.000890447808414,3/3
qmap154,alu-v1_29,f4b1830ec59011bb4fe7f2f552e3806d7023f74c8b0fd7e7126a5399b35ceca3,canonical_sha256_cluster_mean,1,True,M2,-0.1876287022083499,0.8289224271679358,-0.18289536957264174,0.8328552931836507,0.0047333326357081595,1.0047445525501726,3/3
qmap154,alu-v2_30,4f2d6f098c8b76352c45f0551f747e1f012bca552b5eb3dc8ae60ff0418b3c43,canonical_sha256_cluster_mean,1,True,M2,-2.36544210357375,0.09390777422713913,-2.406376690324541,0.09014131347512333,-0.04093458675079109,0.9598919175434221,3/3
qmap154,alu-v2_31,e88e32620ce6fb291b6b742761a195ada2487c3a63177d4cb5041b1265b848a3,canonical_sha256_cluster_mean,1,True,M2,-2.084146932950308,0.12441320771749874,-2.113823010568032,0.12077535724979412,-0.029676077617723617,0.9707599334954455,3/3
qmap154,alu-v2_32,53aa97a2f504590ddcf752e24f189501d8300245aff42164ec7a7191a327b3bc,canonical_sha256_cluster_mean,1,True,M1,-0.764069766854028,0.4657670014178625,-0.7700047186081488,0.4630108835391455,-0.005934951754120732,0.9940826252818964,3/3
qmap154,alu-v2_33,fe1d0e3dd99cc2fa7f2e2fcac9431aed035eea231c658fd07b119549b2c9925f,canonical_sha256_cluster_mean,1,True,M2,-0.18927841330536557,0.8275560719967991,-0.1847120843452172,0.8313436062368811,0.004566328960148386,1.0045767705273951,3/3
qmap154,alu-v3_34,d25f1e6ffaf065bfaada147783bc65850a972bf0e1d238430518d6f2f854fcc2,canonical_sha256_cluster_mean,1,True,M1,-0.2578340538836516,0.7727234519237015,-0.26002617690967733,0.7710314023200199,-0.0021921230260257274,0.9978102779209441,3/3
qmap154,alu-v3_35,8005c69009fdf9618f28c60c160a00e576cac183c5a275d2382af5d76f812b14,canonical_sha256_cluster_mean,1,True,M2,-0.1972327764922202,0.8209995016839294,-0.1952017077560733,0.8226687026613304,0.002031068736146918,1.0020331327534029,3/3
qmap154,alu-v4_36,3851a8b648aa151f77e4ada800ff214766541778f2026981a67f714d6816d18a,canonical_sha256_cluster_mean,1,True,M2,-0.5250477090644752,0.591527142487021,-0.5291554741321909,0.5891022717638499,-0.004107765067715707,0.9959006602588414,3/3
qmap154,alu-v4_37,e0dd04c87b06b77340c2ea5884b0d7aa8c08bc173a7ad4a394604075fca77d6e,canonical_sha256_cluster_mean,1,True,M2,-0.19722252548289768,0.8210079178006117,-0.1952017077560733,0.8226687026613304,0.0020208177268243865,1.0020228609550657,3/3
qmap154,clip_206,061b2a34f02d68d66f40b60624ac224b6594505d785938da624cb18f9863a304,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,cm152a_212,4e61ebc66c256a3be3411259d4f7e555e5e410065ebfac0dfa43079072b7b0d3,canonical_sha256_cluster_mean,1,True,M1,-6.309126918227293,0.0018196212240130219,-6.267193297874192,0.0018975469652627263,0.04193362035310155,1.0428252540810914,3/3
qmap154,cm42a_207,d800bdc1387d38e9d43ce4de7c660bcce7f9dfc81455c7ac955f18408479de3d,canonical_sha256_cluster_mean,2,True,M1,-9.344997483238087,8.740155504028818e-05,-9.248032160922827,9.630097053914908e-05,0.09696532231525978,1.1018221643168553,3/3
qmap154,cm82a_208,8314441e90c48c8308a3339a2101e26dc418327808ac370bf91fb6603ef666dd,canonical_sha256_cluster_mean,1,True,M1,-3.12461020746409,0.04395406325046809,-3.156780681775211,0.04256254312848372,-0.032170474311120856,0.9683414906591244,3/3
qmap154,cm85a_209,f871046094dbfeb7bd70bf21bddd523ced39b7be53e1154e0c738126b6cc84ff,canonical_sha256_cluster_mean,1,True,M2,-76.2492748271018,7.679990688283448e-34,-66.36014327873177,1.5141048679352685e-29,9.889131548370031,19714.931038200066,3/3
qmap154,cnt3-5_179,398986b61fc4e5e4d9d1098273673bfde3ca29c4c34a234df6b6c3bc60de3fac,canonical_sha256_cluster_mean,1,True,M2,-0.9413076982877855,0.390117345862929,-0.9249729706655057,0.3965421372002078,0.016334727622279832,1.0164688686760834,3/3
qmap154,cnt3-5_180,5d572a80ef970ebda2c1a03568d33233b6101732d05e49d2e74bc63a1c1f2812,canonical_sha256_cluster_mean,1,True,M1,-2.525853743502063,0.07998999269046161,-2.514788594809059,0.080880008853195,0.011065148693004012,1.01112659387503,3/3
qmap154,co14_215,ad531fd39cdc47fc29e5c2641e1df1875cbe7cb0b067c9bf22f2ac428ceb8119,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,con1_216,539b7b793a955583b075fc9fc5777a4c471092863a539f628fece84ebf0880c4,canonical_sha256_cluster_mean,1,True,M1,-4.650991974925948,0.009552121763997648,-4.679054107089913,0.009287794992851255,-0.02806213216396447,0.9723279520846716,3/3
