benchmark_scale,benchmark_directory,upstream_path,upstream_git_blob,source_sha256,selection_reason,canonical_profile,canonical_status,canonical_error,canonical_sha256,qubits,gates_1q,gates_2q,strict_paired,pairing_reason,fidelity_paired,M1__fidelity,M1__log_fidelity,M1__transfers,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M1__terminal_status,M1__fidelity_ood,M1__seed_policy,M2__fidelity,M2__log_fidelity,M2__transfers,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M2__terminal_status,M2__fidelity_ood,M2__seed_policy,M3__fidelity,M3__log_fidelity,M3__transfers,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M3__terminal_status,M3__fidelity_ood,M3__seed_policy,M3__initial_placement_s,M3__problem_preparation_s,M3__native_search_s,M3__search_kernel_s,M3__return_match_s,M3__forecast_s,M3__result_commit_s,M3__routing_s,M4__fidelity,M4__log_fidelity,M4__transfers,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M4__terminal_status,M4__fidelity_ood,M4__seed_policy,M4__initial_placement_s,M4__problem_preparation_s,M4__native_search_s,M4__search_kernel_s,M4__return_match_s,M4__forecast_s,M4__result_commit_s,M4__routing_s
large,cat_n260,large/cat_n260/cat_n260_transpiled.qasm,ec64c29a3ac07fa5208707b7bd18aef01044c22b,a6517fbc1e2b9d3f3f0577140af9d0f94a7dcb852a147c3db9e2657b37109fd1,preferred_transpiled,qasmbench_standard_expand_v1,success,,1e3ed9fa965de8d75fcc9388e5074391cb279097cfdf6188b927bc45ce685d42,260,521,259,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,cat_n35,large/cat_n35/cat_n35_transpiled.qasm,35d742de7d566e930512a1ddf87221cdc9d17222,89f51b714e4cdbdf9e09db412efe97ca55a72b476f088433ce7465f3eae90df7,preferred_transpiled,qasmbench_standard_expand_v1,success,,997d5d75ffaf6b7e6a6b74ae8148107b437342e64672d4cf3183b2a4c57f5925,35,71,34,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,cat_n65,large/cat_n65/cat_n65_transpiled.qasm,b73b4b1d1dab4dabbff6c590ad8f36d4d2d0e62d,84cfd77ae88a39f73e423ca0c360f35b37c4a5db419a75846a20013ca9beb259,preferred_transpiled,qasmbench_standard_expand_v1,success,,3c3a02758d7bd785a3122fa50ce9dbf6d50a99815559d231339375ee89bcf68d,65,131,64,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,cc_n151,large/cc_n151/cc_n151_transpiled.qasm,d58d299e94dbcc44b461f0b9991df2ae93a78dcd,916ce5b90c6ab8643b242b4609e7ddfda3fa62bb53f3a12d2b28f7cb1849ccf7,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: conditional operation at line 606,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,cc_n301,large/cc_n301/cc_n301_transpiled.qasm,cfc022c1962373f26c15b5956691c01347ba7136,69f9c9f2c9a38026276e12fd7011208c942f73ce3555a1a055eda8ac95f1e218,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: conditional operation at line 1206,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,cc_n32,large/cc_n32/cc_n32_transpiled.qasm,5e969ef677257696612845bb83ead2d39f848efc,a1985c20308eb6d7fcd97ddfb2f3152c5c6f44aa39c94d0bf42303c850808985,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: conditional operation at line 130,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,cc_n64,large/cc_n64/cc_n64_transpiled.qasm,01152fabc5d1c45399306c7987c3059cec050069,ea43e88f571391bb483a51980e3a7b23febf4f9ee8bd96af5b35cfb9c6dd2888,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: conditional operation at line 258,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,dnn_n33,large/dnn_n33/dnn_n33_transpiled.qasm,dc00c3da6ec1b96cfad6fb85ee878bc2b168263c,b6d8643010ad9c15bc5cde785d118ce7df315487f0ccea8167fab9a0da4911c8,preferred_transpiled,qasmbench_standard_expand_v1,success,,6194790ffeff92218d8f71dcbddc3c1ac214f90904f89e65a6ed939d3e022754,33,1122,248,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,dnn_n51,large/dnn_n51/dnn_n51_transpiled.qasm,1ca5ef23856279440fcbc177ea9b6ea44a7213a5,785f95cb7f4181c09b24b0617d967783e7b8b26ce7d193f8cfcf4633d5fed146,preferred_transpiled,qasmbench_standard_expand_v1,success,,d1cda3243a80e27e6fc6bd3f6c8cc75ea732cf3ef1159e2c2434d1b05f9d9ff0,51,1770,392,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,ghz_n127,large/ghz_n127/ghz_n127_transpiled.qasm,c439a2f69c4d060493bf87ead5f18dd1a21ebe6e,c5ec59a35360251c203682e3310a78b6ed798435d88ddc0530949415e521fca0,preferred_transpiled,qasmbench_standard_expand_v1,success,,f816f2a2c704ec83daf20bde1d484edbe7969f76c2acb5cdf921302d09b3d956,127,255,126,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,ghz_n255,large/ghz_n255/ghz_state_n255_transpiled.qasm,70406b72afd4bda881b1d2854a4cff31f51b2c7e,1dda19d9d949059a393db2223b9fa09efcf7fe0225bd70888ff10cebd9411779,unique_transpiled_fallback,qasmbench_standard_expand_v1,success,,ba2a576346c89367d15b1070cd729af27713926e44d3ee478b352b942f60034a,255,511,254,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
